Zuora,233316,9,www.zuora.com,"San Mateo, CA",Information Technology,Enterprise Software & Network Solutions,$100 to $500 million (USD) per year,1001 to 5000 employees,https://grnh.se/67a43fad1us
Alloy (NY),3072397,8,www.alloy.co,"New York, NY",Finance,Financial Transaction Processing,"",51 to 200 employees,https://grnh.se/a61481932us
Away,1919638,8,www.awaytravel.com,"New York, NY",Retail,Other Retail Stores,,201 to 500 employees,https://grnh.se/298d9b511
Baidu,35325,8,www.baidu.com,"Sunnyvale, CA",Information Technology,Internet,$50 to $100 million (USD) per year,51 to 200 employees,https://grnh.se/5751e5761us
Cohesity,1036694,8,www.cohesity.com,"San Jose, CA",Information Technology,Computer Hardware & Software,,1001 to 5000 employees,https://grnh.se/8a9628c11us
General Assembly,459214,8,www.generalassemb.ly,"New York, NY",Education,Education Training Services,,501 to 1000 employees,https://grnh.se/d28c45fd1us
Gillig,18380,8,www.gillig.com,"Livermore, CA",Manufacturing,Transportation Equipment Manufacturing,,501 to 1000 employees,https://grnh.se/60200bb71us
Global Atlantic Financial Group,972487,8,www.gafg.com,"New York, NY",Insurance,Insurance Agencies & Brokerages,,1001 to 5000 employees,https://grnh.se/365d80b11us
GreenPark Sports,2390285,8,www.greenparksports.com,"Calabasas, CA","Arts, Entertainment & Recreation",Sports & Recreation,,1 to 50 employees,https://grnh.se/ab88f1f92us
Instabase,1503646,8,www.instabase.com,"San Francisco, CA",Information Technology,Enterprise Software & Network Solutions,,1 to 50 employees,https://grnh.se/76f863c62us
Moloco,1694965,8,www.molocoads.com,"Los Altos, CA",,,,1 to 50 employees,https://grnh.se/5b874f263us
Red Ventures,142090,8,www.redventures.com,"Fort Mill, SC",Business Services,Advertising & Marketing,,1001 to 5000 employees,https://grnh.se/f0b2ba911us
AKQA,23381,7,www.akqa.com,"London, United Kingdom",Business Services,Advertising & Marketing,$100 to $500 million (USD) per year,1001 to 5000 employees,https://grnh.se/568e7c951
AutoX,2254437,7,home.autox.ai,"San Jose, CA",Information Technology,Computer Hardware & Software,,51 to 200 employees,https://grnh.se/xw4y6m721
Avail Medsystems,2185232,7,www.avail.io,"Palo Alto, CA","",,"",1 to 50 employees,https://grnh.se/dcfe659c2us
Bond,3071895,7,www.bond.tech,"San Francisco, CA",Finance,Financial Analytics & Research,"",1 to 50 employees,https://grnh.se/0772e1b53us
Cashmere Agency,852461,7,www.cashmereagency.com,"Los Angeles, CA",Business Services,Advertising & Marketing,,1 to 50 employees,https://grnh.se/a3720cdb1us
Collage.com,1018553,7,www.collage.com,"Brighton, MI",Information Technology,Internet,,1 to 50 employees,https://grnh.se/6b39fe332
Culture Amp,742274,7,www.cultureamp.com,"Melbourne, Australia",Information Technology,Internet,,201 to 500 employees,https://grnh.se/b3d173cf1us
Current (NY),2579466,7,www.current.com,"New York, NY",Finance,Banks & Credit Unions,"",1 to 50 employees,https://grnh.se/9fb4c6fc1
Daily Mail and General Trust,10837,7,www.dmgt.com,"London, United Kingdom",Finance,Venture Capital & Private Equity,$1 to $2 billion (USD) per year,5001 to 10000 employees,https://grnh.se/65e104c91us
Duolingo,629348,7,www.duolingo.com,"Pittsburgh, PA",Information Technology,Internet,,201 to 500 employees,https://grnh.se/25b615f02us
